kana,kanji,romaji,vietnamese,audio
おなまえは？,お名前は？,onamaeha？,Tên anh/chị là gì?,[sound:lesson-01-031.mp3]
はじめまして,初めまして,hajimemashite,Rất hân hạnh được gặp anh/chị,[sound:lesson-01-032.mp3]
どうぞよろしくおねがいします,どうぞよろしくお願いします,douzoyoroshikuonegaishimasu,Rất mong được sự giúp đỡ của anh/chị; rất vui được làm quen,[sound:lesson-01-033.mp3]
こちらは～さんです,,kochiraha～sandesu,Đây là anh/chị/ông/bà ~,[sound:lesson-01-034.mp3]
～からきました,～から来ました,～karakimashita,(Tôi) đến từ ~,[sound:lesson-01-035.mp3]
アメリカ,,amerika,Mỹ,[sound:lesson-01-036.mp3]
イギリス,,igirisu,Anh,[sound:lesson-01-037.mp3]
インド,,indo,Ấn Độ,[sound:lesson-01-038.mp3]
インドネシア,,indoneshia,Indonesia,[sound:lesson-01-039.mp3]
かんこく,韓国,kankoku,Hàn Quốc,[sound:lesson-01-040.mp3]
タイ,,tai,Thái Lan,[sound:lesson-01-041.mp3]
ちゅうごく,中国,chuugoku,Trung Quốc,[sound:lesson-01-042.mp3]
ドイツ,,doitsu,Đức,[sound:lesson-01-043.mp3]
にほん,日本,nihon,Nhật Bản,[sound:lesson-01-044.mp3]
フランス,,furansu,Pháp,[sound:lesson-01-045.mp3]
ブラジル,,burajiru,Braxin,[sound:lesson-01-046.mp3]
さくらだいがく／ふじだいがく,さくら大学／富士大学,sakuradaigaku／fujidaigaku,tên các trường đại học giả tưởng,[sound:lesson-01-047.mp3]
IMC／パワーでんき／ブラジルエアー,IMC／パワー電気／ブラジルエアー,IMC／pawaadenki／burajirueaa,tên các công ty giả tưởng,[sound:lesson-01-048.mp3]
AKC,,AKC,tên một tổ chức giả tưởng,[sound:lesson-01-049.mp3]
こうべびょういん,神戸病院,koubebyouin,tên một bệnh viện giả tưởng,[sound:lesson-01-050.mp3]
くに,国,kuni,nước,[sound:lesson-01-051.mp3]
ひと,人,hito,người,[sound:lesson-01-052.mp3]
ことば,,kotoba,"ngôn ngữ, lời nói",[sound:lesson-01-053.mp3]
イタリア,,itaria,Ý,[sound:lesson-01-054.mp3]
イラン,,iran,Iran,[sound:lesson-01-055.mp3]
エジプト,,ejiputo,Ai Cập,[sound:lesson-01-056.mp3]
オーストラリア,,oosutoraria,Úc,[sound:lesson-01-057.mp3]
カナダ,,kanada,Canada,[sound:lesson-01-058.mp3]
サウジアラビア,,saujiarabia,Ả-rập Xê-út,[sound:lesson-01-059.mp3]
シンガポール,,shingapooru,Singapore,[sound:lesson-01-060.mp3]
スペイン,,supein,Tây Ban Nha,[sound:lesson-01-061.mp3]
フィリピン,,firipin,Philippine,[sound:lesson-01-062.mp3]
ベトナム,,betonamu,Việt Nam,[sound:lesson-01-063.mp3]
マレーシア,,mareeshia,Malaysia,[sound:lesson-01-064.mp3]
メキシコ,,mekishiko,Mexico,[sound:lesson-01-065.mp3]
ロシア,,roshia,Nga,[sound:lesson-01-066.mp3]
アメリカじん,アメリカ人,amerikajin,người Mỹ,[sound:lesson-01-067.mp3]
イギリスじん,イギリス人,igirisujin,người Anh,[sound:lesson-01-068.mp3]
イタリアじん,イタリア人,itariajin,người Ý,[sound:lesson-01-069.mp3]
イランじん,イラン人,iranjin,người Iran,[sound:lesson-01-070.mp3]
インドじん,インド人,indojin,người Ấn Độ,[sound:lesson-01-071.mp3]
インドネシアじん,インドネシア人,indoneshiajin,người Indonesia,[sound:lesson-01-072.mp3]
エジプトじん,エジプト人,ejiputojin,người Ai Cập,[sound:lesson-01-073.mp3]
オーストラリアじん,オーストラリア人,oosutorariajin,người Úc,[sound:lesson-01-074.mp3]
カナダじん,カナダ人,kanadajin,người Canada,[sound:lesson-01-075.mp3]
かんこくじん,韓国人,kankokujin,người Hàn Quốc,[sound:lesson-01-076.mp3]
サウジアラビアじん,サウジアラビア人,saujiarabiajin,người Ả-rập Xê-út,[sound:lesson-01-077.mp3]
シンガポールじん,シンガポール人,shingapoorujin,người Singapore,[sound:lesson-01-078.mp3]
スペインじん,スペイン人,supeinjin,người Tây Ban Nha,[sound:lesson-01-079.mp3]
タイじん,タイ人,taijin,người Thái,[sound:lesson-01-080.mp3]
ちゅうごくじん,中国人,chuugokujin,người Trung Quốc,[sound:lesson-01-081.mp3]
ドイツじん,ドイツ人,doitsujin,người Đức,[sound:lesson-01-082.mp3]
にほんじん,日本人,nihonjin,người Nhật,[sound:lesson-01-083.mp3]
フランスじん,フランス人,furansujin,người Pháp,[sound:lesson-01-084.mp3]
フィリピンじん,フィリピン人,firipinjin,người Philippine,[sound:lesson-01-085.mp3]
ブラジルじん,ブラジル人,burajirujin,người Braxin,[sound:lesson-01-086.mp3]
ベトナムじん,ベトナム人,betonamujin,người Việt Nam,[sound:lesson-01-087.mp3]
マレーシアじん,マレーシア人,mareeshiajin,người Malaysia,[sound:lesson-01-088.mp3]
メキシコじん,メキシコ人,mekishikojin,người Mexico,[sound:lesson-01-089.mp3]
ロシアじん,ロシア人,roshiajin,người Nga,[sound:lesson-01-090.mp3]
えいご,英語,eigo,tiếng Anh,[sound:lesson-01-091.mp3]
イタリアご,イタリア語,itariago,tiếng Ý,[sound:lesson-01-092.mp3]
ペルシャご,ペルシャ語,perushago,tiếng Ba Tư,[sound:lesson-01-093.mp3]
ヒンディーご,ヒンディー語,hindiigo,tiếng Hin-đi,[sound:lesson-01-094.mp3]
インドネシアご,インドネシア語,indoneshiago,tiếng Indonesia,[sound:lesson-01-095.mp3]
アラビアご,アラビア語,arabiago,tiếng Ả-rập,[sound:lesson-01-096.mp3]
フランスご,フランス語,furansugo,tiếng Pháp,[sound:lesson-01-097.mp3]
かんこくご,韓国語,kankokugo,tiếng Hàn Quốc,[sound:lesson-01-098.mp3]
スペインご,スペイン語,supeingo,tiếng Tây Ban Nha,[sound:lesson-01-099.mp3]
タイご,タイ語,taigo,tiếng Thái,[sound:lesson-01-100.mp3]
ちゅうごくご,中国語,chuugokugo,tiếng Trung Quốc,[sound:lesson-01-101.mp3]
ドイツご,ドイツ語,doitsugo,tiếng Đức,[sound:lesson-01-102.mp3]
にほんご,日本語,nihongo,tiếng Nhật,[sound:lesson-01-103.mp3]
フィリピンご,フィリピン語,firipingo,tiếng Philippine,[sound:lesson-01-104.mp3]
ポルトガルご,ポルトガル語,porutogarugo,tiếng Bồ Đào Nha,[sound:lesson-01-105.mp3]
ベトナムご,ベトナム語,betonamugo,tiếng Việt,[sound:lesson-01-106.mp3]
マレーシアご,マレーシア語,mareeshiago,tiếng Mã Lai,[sound:lesson-01-107.mp3]
ロシアご,ロシア語,roshiago,tiếng Nga,[sound:lesson-01-108.mp3]
